X;Y;Z;
549000;6190600;-5.914854e+01;
549100;6190600;-6.439914e+01;
549200;6190600;-7.049351e+01;
549300;6190600;-7.672426e+01;
549400;6190600;-8.178596e+01;
549500;6190600;-8.189449e+01;
549600;6190600;-8.245838e+01;
549700;6190600;-9.057793e+01;
549800;6190600;-9.702987e+01;
549900;6190600;-9.552758e+01;
550000;6190600;-8.822597e+01;
550100;6190600;-8.048601e+01;
550200;6190600;-7.716582e+01;
550300;6190600;-7.886237e+01;
550400;6190600;-8.179783e+01;
550500;6190600;-8.295965e+01;
550600;6190600;-7.866512e+01;
550700;6190600;-7.345092e+01;
550800;6190600;-7.623041e+01;
550900;6190600;-8.364028e+01;
551000;6190600;-8.885180e+01;
551100;6190600;-8.574021e+01;
551200;6190600;-7.922626e+01;
551300;6190600;-7.997719e+01;
551400;6190600;-7.889621e+01;
551500;6190600;-8.097100e+01;
551600;6190600;-8.496565e+01;
551700;6190600;-8.178062e+01;
551800;6190600;-7.765808e+01;
551900;6190600;-8.309739e+01;
552000;6190600;-8.746909e+01;
552100;6190600;-8.070254e+01;
552200;6190600;-7.413348e+01;
552300;6190600;-7.477413e+01;
552400;6190600;-7.626675e+01;
552500;6190600;-7.382695e+01;
552600;6190600;-6.976566e+01;
552700;6190600;-6.463493e+01;
552800;6190600;-5.727097e+01;
552900;6190600;-5.078014e+01;
553000;6190600;-4.768299e+01;
553100;6190600;-4.864625e+01;
553200;6190600;-5.102990e+01;
553300;6190600;-5.159517e+01;
553400;6190600;-5.377325e+01;
553500;6190600;-6.063895e+01;
553600;6190600;-6.438323e+01;
553700;6190600;-6.226502e+01;
553800;6190600;-5.448971e+01;
553900;6190600;-4.603655e+01;
554000;6190600;-4.602750e+01;
554100;6190600;-5.111772e+01;
554200;6190600;-4.856563e+01;
554300;6190600;-4.331276e+01;
554400;6190600;-4.479594e+01;
554500;6190600;-4.935376e+01;
554600;6190600;-5.072860e+01;
554700;6190600;-5.303986e+01;
554800;6190600;-5.677040e+01;
554900;6190600;-5.409273e+01;
555000;6190600;-4.521560e+01;
555100;6190600;-4.099841e+01;
555200;6190600;-4.073409e+01;
555300;6190600;-4.220355e+01;
555400;6190600;-4.340456e+01;
555500;6190600;-3.998291e+01;
555600;6190600;-3.168231e+01;
555700;6190600;-2.731104e+01;
555800;6190600;-2.716552e+01;
555900;6190600;-2.961275e+01;
556000;6190600;-3.511198e+01;
556100;6190600;-3.712034e+01;
556200;6190600;-3.423191e+01;
556300;6190600;-3.083251e+01;
556400;6190600;-3.123884e+01;
556500;6190600;-3.127974e+01;
556600;6190600;-2.673727e+01;
556700;6190600;-2.156322e+01;
556800;6190600;-2.187840e+01;
556900;6190600;-2.187959e+01;
557000;6190600;-2.408755e+01;
557100;6190600;-2.859419e+01;
557200;6190600;-3.576118e+01;
557300;6190600;-3.874869e+01;
557400;6190600;-3.250300e+01;
557500;6190600;-2.596690e+01;
557600;6190600;-2.342060e+01;
557700;6190600;-2.406282e+01;
557800;6190600;-2.638295e+01;
557900;6190600;-3.184948e+01;
558000;6190600;-3.983055e+01;
558100;6190600;-3.717787e+01;
558200;6190600;-3.323065e+01;
558300;6190600;-2.667627e+01;
558400;6190600;-2.277681e+01;
558500;6190600;-3.038720e+01;
558600;6190600;-4.245981e+01;
558700;6190600;-4.816760e+01;
558800;6190600;-4.863038e+01;
558900;6190600;-4.913259e+01;
559000;6190600;-5.359672e+01;
