X;Y;Z;
549000;6190600;-3.589946e+02;
549100;6190600;-3.567972e+02;
549200;6190600;-3.530620e+02;
549300;6190600;-3.493156e+02;
549400;6190600;-3.469206e+02;
549500;6190600;-3.459738e+02;
549600;6190600;-3.459565e+02;
549700;6190600;-3.463808e+02;
549800;6190600;-3.470772e+02;
549900;6190600;-3.483848e+02;
550000;6190600;-3.505894e+02;
550100;6190600;-3.539527e+02;
550200;6190600;-3.582173e+02;
550300;6190600;-3.620648e+02;
550400;6190600;-3.641282e+02;
550500;6190600;-3.633488e+02;
550600;6190600;-3.598692e+02;
550700;6190600;-3.543648e+02;
550800;6190600;-3.484761e+02;
550900;6190600;-3.436676e+02;
551000;6190600;-3.409950e+02;
551100;6190600;-3.401494e+02;
551200;6190600;-3.414777e+02;
551300;6190600;-3.446396e+02;
551400;6190600;-3.492964e+02;
551500;6190600;-3.547739e+02;
551600;6190600;-3.603230e+02;
551700;6190600;-3.652815e+02;
551800;6190600;-3.691909e+02;
551900;6190600;-3.722132e+02;
552000;6190600;-3.739660e+02;
552100;6190600;-3.749279e+02;
552200;6190600;-3.751463e+02;
552300;6190600;-3.755052e+02;
552400;6190600;-3.772685e+02;
552500;6190600;-3.812115e+02;
552600;6190600;-3.880484e+02;
552700;6190600;-3.968590e+02;
552800;6190600;-4.059777e+02;
552900;6190600;-4.142333e+02;
553000;6190600;-4.201747e+02;
553100;6190600;-4.237328e+02;
553200;6190600;-4.250977e+02;
553300;6190600;-4.250355e+02;
553400;6190600;-4.246730e+02;
553500;6190600;-4.247502e+02;
553600;6190600;-4.250527e+02;
553700;6190600;-4.252190e+02;
553800;6190600;-4.248891e+02;
553900;6190600;-4.242015e+02;
554000;6190600;-4.232473e+02;
554100;6190600;-4.219528e+02;
554200;6190600;-4.201414e+02;
554300;6190600;-4.181258e+02;
554400;6190600;-4.157514e+02;
554500;6190600;-4.136848e+02;
554600;6190600;-4.127194e+02;
554700;6190600;-4.131371e+02;
554800;6190600;-4.144583e+02;
554900;6190600;-4.158922e+02;
555000;6190600;-4.161803e+02;
555100;6190600;-4.144164e+02;
555200;6190600;-4.111275e+02;
555300;6190600;-4.072076e+02;
555400;6190600;-4.039706e+02;
555500;6190600;-4.021180e+02;
555600;6190600;-4.021177e+02;
555700;6190600;-4.036231e+02;
555800;6190600;-4.068095e+02;
555900;6190600;-4.107087e+02;
556000;6190600;-4.159412e+02;
556100;6190600;-4.212952e+02;
556200;6190600;-4.261861e+02;
556300;6190600;-4.298463e+02;
556400;6190600;-4.322220e+02;
556500;6190600;-4.337120e+02;
556600;6190600;-4.351812e+02;
556700;6190600;-4.374488e+02;
556800;6190600;-4.405631e+02;
556900;6190600;-4.440840e+02;
557000;6190600;-4.469266e+02;
557100;6190600;-4.478701e+02;
557200;6190600;-4.464964e+02;
557300;6190600;-4.427274e+02;
557400;6190600;-4.375900e+02;
557500;6190600;-4.318811e+02;
557600;6190600;-4.264292e+02;
557700;6190600;-4.224422e+02;
557800;6190600;-4.208525e+02;
557900;6190600;-4.208913e+02;
558000;6190600;-4.210466e+02;
558100;6190600;-4.212526e+02;
558200;6190600;-4.218220e+02;
558300;6190600;-4.237660e+02;
558400;6190600;-4.269199e+02;
558500;6190600;-4.301824e+02;
558600;6190600;-4.322855e+02;
558700;6190600;-4.322413e+02;
558800;6190600;-4.304922e+02;
558900;6190600;-4.278587e+02;
559000;6190600;-4.257295e+02;
559100;6190600;-4.255030e+02;
559200;6190600;-4.274107e+02;
559300;6190600;-4.310318e+02;
559400;6190600;-4.353647e+02;
559500;6190600;-4.389648e+02;
559600;6190600;-4.408671e+02;
559700;6190600;-4.404702e+02;
559800;6190600;-4.385572e+02;
559900;6190600;-4.363414e+02;
560000;6190600;-4.352732e+02;
560100;6190600;-4.355533e+02;
560200;6190600;-4.360489e+02;
560300;6190600;-4.350219e+02;
560400;6190600;-4.321654e+02;
560500;6190600;-4.281547e+02;
560600;6190600;-4.248906e+02;
560700;6190600;-4.238041e+02;
560800;6190600;-4.262061e+02;
560900;6190600;-4.312984e+02;
561000;6190600;-4.374540e+02;
549000;6190700;-3.591712e+02;
549100;6190700;-3.580378e+02;
549200;6190700;-3.548010e+02;
549300;6190700;-3.509875e+02;
549400;6190700;-3.478680e+02;
549500;6190700;-3.458530e+02;
549600;6190700;-3.447611e+02;
549700;6190700;-3.445393e+02;
549800;6190700;-3.451395e+02;
549900;6190700;-3.467165e+02;
550000;6190700;-3.495672e+02;
550100;6190700;-3.534274e+02;
550200;6190700;-3.579077e+02;
550300;6190700;-3.618062e+02;
550400;6190700;-3.637725e+02;
550500;6190700;-3.629226e+02;
550600;6190700;-3.592337e+02;
550700;6190700;-3.538961e+02;
550800;6190700;-3.485036e+02;
550900;6190700;-3.445297e+02;
551000;6190700;-3.425765e+02;
551100;6190700;-3.425542e+02;
551200;6190700;-3.439942e+02;
551300;6190700;-3.468997e+02;
551400;6190700;-3.512520e+02;
551500;6190700;-3.565059e+02;
551600;6190700;-3.621949e+02;
551700;6190700;-3.677853e+02;
551800;6190700;-3.727439e+02;
551900;6190700;-3.767150e+02;
552000;6190700;-3.794878e+02;
552100;6190700;-3.806346e+02;
552200;6190700;-3.805178e+02;
552300;6190700;-3.799291e+02;
552400;6190700;-3.804517e+02;
552500;6190700;-3.836281e+02;
552600;6190700;-3.899022e+02;
552700;6190700;-3.987533e+02;
552800;6190700;-4.084414e+02;
552900;6190700;-4.172247e+02;
553000;6190700;-4.239852e+02;
553100;6190700;-4.280205e+02;
553200;6190700;-4.295947e+02;
553300;6190700;-4.292801e+02;
553400;6190700;-4.284474e+02;
553500;6190700;-4.276470e+02;
553600;6190700;-4.271892e+02;
553700;6190700;-4.268558e+02;
553800;6190700;-4.265017e+02;
553900;6190700;-4.257550e+02;
554000;6190700;-4.246793e+02;
554100;6190700;-4.235878e+02;
554200;6190700;-4.213286e+02;
554300;6190700;-4.194188e+02;
554400;6190700;-4.175671e+02;
554500;6190700;-4.161194e+02;
554600;6190700;-4.159202e+02;
554700;6190700;-4.168399e+02;
554800;6190700;-4.181753e+02;
554900;6190700;-4.196309e+02;
555000;6190700;-4.194652e+02;
555100;6190700;-4.174570e+02;
555200;6190700;-4.137342e+02;
555300;6190700;-4.098475e+02;
555400;6190700;-4.067470e+02;
555500;6190700;-4.052860e+02;
555600;6190700;-4.055257e+02;
555700;6190700;-4.071474e+02;
555800;6190700;-4.101688e+02;
555900;6190700;-4.141772e+02;
556000;6190700;-4.194205e+02;
556100;6190700;-4.251973e+02;
556200;6190700;-4.302717e+02;
556300;6190700;-4.339469e+02;
556400;6190700;-4.357711e+02;
556500;6190700;-4.358826e+02;
556600;6190700;-4.355275e+02;
556700;6190700;-4.356414e+02;
556800;6190700;-4.366765e+02;
556900;6190700;-4.392500e+02;
557000;6190700;-4.419833e+02;
557100;6190700;-4.436287e+02;
557200;6190700;-4.431690e+02;
557300;6190700;-4.407546e+02;
557400;6190700;-4.368087e+02;
557500;6190700;-4.322246e+02;
557600;6190700;-4.278271e+02;
557700;6190700;-4.247539e+02;
557800;6190700;-4.241976e+02;
557900;6190700;-4.252432e+02;
558000;6190700;-4.257374e+02;
558100;6190700;-4.255335e+02;
558200;6190700;-4.251517e+02;
558300;6190700;-4.257385e+02;
558400;6190700;-4.276806e+02;
558500;6190700;-4.300517e+02;
558600;6190700;-4.318860e+02;
558700;6190700;-4.327085e+02;
558800;6190700;-4.324542e+02;
558900;6190700;-4.316593e+02;
559000;6190700;-4.313456e+02;
559100;6190700;-4.322008e+02;
559200;6190700;-4.344205e+02;
559300;6190700;-4.373953e+02;
559400;6190700;-4.402899e+02;
559500;6190700;-4.424044e+02;
559600;6190700;-4.427234e+02;
559700;6190700;-4.413362e+02;
559800;6190700;-4.386554e+02;
559900;6190700;-4.359654e+02;
560000;6190700;-4.343356e+02;
560100;6190700;-4.341150e+02;
560200;6190700;-4.340905e+02;
560300;6190700;-4.332022e+02;
560400;6190700;-4.308088e+02;
560500;6190700;-4.275633e+02;
560600;6190700;-4.247803e+02;
560700;6190700;-4.238553e+02;
560800;6190700;-4.258876e+02;
560900;6190700;-4.306284e+02;
561000;6190700;-4.362815e+02;
549000;6190800;-3.576902e+02;
549100;6190800;-3.571574e+02;
549200;6190800;-3.545160e+02;
549300;6190800;-3.511512e+02;
549400;6190800;-3.480150e+02;
549500;6190800;-3.454484e+02;
549600;6190800;-3.436800e+02;
549700;6190800;-3.429366e+02;
549800;6190800;-3.432458e+02;
549900;6190800;-3.448755e+02;
550000;6190800;-3.475184e+02;
550100;6190800;-3.514014e+02;
550200;6190800;-3.560775e+02;
550300;6190800;-3.604235e+02;
550400;6190800;-3.629661e+02;
550500;6190800;-3.628316e+02;
550600;6190800;-3.599129e+02;
550700;6190800;-3.554024e+02;
550800;6190800;-3.510645e+02;
550900;6190800;-3.482898e+02;
551000;6190800;-3.473612e+02;
551100;6190800;-3.480324e+02;
551200;6190800;-3.501219e+02;
551300;6190800;-3.532851e+02;
551400;6190800;-3.575305e+02;
551500;6190800;-3.626394e+02;
551600;6190800;-3.682517e+02;
551700;6190800;-3.738465e+02;
551800;6190800;-3.789716e+02;
551900;6190800;-3.833392e+02;
552000;6190800;-3.862148e+02;
552100;6190800;-3.872373e+02;
552200;6190800;-3.863533e+02;
552300;6190800;-3.848920e+02;
552400;6190800;-3.843594e+02;
552500;6190800;-3.864710e+02;
552600;6190800;-3.920671e+02;
552700;6190800;-4.005614e+02;
552800;6190800;-4.101371e+02;
552900;6190800;-4.189986e+02;
553000;6190800;-4.260025e+02;
553100;6190800;-4.304084e+02;
553200;6190800;-4.321497e+02;
553300;6190800;-4.322130e+02;
553400;6190800;-4.312761e+02;
553500;6190800;-4.303410e+02;
553600;6190800;-4.296596e+02;
553700;6190800;-4.291177e+02;
553800;6190800;-4.285182e+02;
553900;6190800;-4.275593e+02;
554000;6190800;-4.262368e+02;
554100;6190800;-4.249517e+02;
554200;6190800;-4.229004e+02;
554300;6190800;-4.214780e+02;
554400;6190800;-4.205158e+02;
554500;6190800;-4.200055e+02;
554600;6190800;-4.205679e+02;
554700;6190800;-4.223281e+02;
554800;6190800;-4.240997e+02;
554900;6190800;-4.254813e+02;
555000;6190800;-4.248876e+02;
555100;6190800;-4.220222e+02;
555200;6190800;-4.177498e+02;
555300;6190800;-4.135335e+02;
555400;6190800;-4.105410e+02;
555500;6190800;-4.094729e+02;
555600;6190800;-4.101679e+02;
555700;6190800;-4.121460e+02;
555800;6190800;-4.154196e+02;
555900;6190800;-4.194735e+02;
556000;6190800;-4.248060e+02;
556100;6190800;-4.304109e+02;
556200;6190800;-4.352870e+02;
556300;6190800;-4.386006e+02;
556400;6190800;-4.395279e+02;
556500;6190800;-4.384989e+02;
556600;6190800;-4.362462e+02;
556700;6190800;-4.345520e+02;
556800;6190800;-4.339028e+02;
556900;6190800;-4.355605e+02;
557000;6190800;-4.381310e+02;
557100;6190800;-4.401406e+02;
557200;6190800;-4.406701e+02;
557300;6190800;-4.393111e+02;
557400;6190800;-4.365540e+02;
557500;6190800;-4.330982e+02;
557600;6190800;-4.297077e+02;
557700;6190800;-4.277806e+02;
557800;6190800;-4.276806e+02;
557900;6190800;-4.286305e+02;
558000;6190800;-4.289319e+02;
558100;6190800;-4.284199e+02;
558200;6190800;-4.271722e+02;
558300;6190800;-4.268711e+02;
558400;6190800;-4.275895e+02;
558500;6190800;-4.289929e+02;
558600;6190800;-4.304156e+02;
558700;6190800;-4.316849e+02;
558800;6190800;-4.324874e+02;
558900;6190800;-4.332445e+02;
559000;6190800;-4.343031e+02;
559100;6190800;-4.360560e+02;
559200;6190800;-4.384818e+02;
559300;6190800;-4.409072e+02;
559400;6190800;-4.426320e+02;
559500;6190800;-4.433105e+02;
559600;6190800;-4.425979e+02;
559700;6190800;-4.405805e+02;
559800;6190800;-4.379677e+02;
559900;6190800;-4.353654e+02;
560000;6190800;-4.335993e+02;
560100;6190800;-4.329415e+02;
560200;6190800;-4.326847e+02;
560300;6190800;-4.320958e+02;
560400;6190800;-4.305284e+02;
560500;6190800;-4.282644e+02;
560600;6190800;-4.261046e+02;
560700;6190800;-4.252985e+02;
560800;6190800;-4.267555e+02;
560900;6190800;-4.301092e+02;
561000;6190800;-4.339218e+02;
549000;6190900;-3.554730e+02;
549100;6190900;-3.552910e+02;
549200;6190900;-3.534198e+02;
549300;6190900;-3.508687e+02;
549400;6190900;-3.482654e+02;
549500;6190900;-3.458897e+02;
549600;6190900;-3.440972e+02;
549700;6190900;-3.430218e+02;
549800;6190900;-3.429227e+02;
549900;6190900;-3.439610e+02;
550000;6190900;-3.459908e+02;
550100;6190900;-3.494207e+02;
550200;6190900;-3.540868e+02;
550300;6190900;-3.590131e+02;
550400;6190900;-3.626324e+02;
550500;6190900;-3.638705e+02;
550600;6190900;-3.623476e+02;
550700;6190900;-3.591388e+02;
550800;6190900;-3.559814e+02;
550900;6190900;-3.543955e+02;
551000;6190900;-3.545862e+02;
551100;6190900;-3.562078e+02;
