X;Y;Z;
549000;6190600;-1.584770e+02;
549100;6190600;-1.619744e+02;
549200;6190600;-1.632420e+02;
549300;6190600;-1.649866e+02;
549400;6190600;-1.695847e+02;
549500;6190600;-1.765302e+02;
549600;6190600;-1.810966e+02;
549700;6190600;-1.813563e+02;
549800;6190600;-1.818862e+02;
549900;6190600;-1.828478e+02;
550000;6190600;-1.784080e+02;
550100;6190600;-1.700278e+02;
550200;6190600;-1.636767e+02;
550300;6190600;-1.616686e+02;
550400;6190600;-1.606041e+02;
550500;6190600;-1.593538e+02;
550600;6190600;-1.605890e+02;
550700;6190600;-1.635247e+02;
550800;6190600;-1.665574e+02;
550900;6190600;-1.688624e+02;
551000;6190600;-1.680302e+02;
551100;6190600;-1.626909e+02;
551200;6190600;-1.580238e+02;
551300;6190600;-1.573788e+02;
551400;6190600;-1.574124e+02;
551500;6190600;-1.513115e+02;
551600;6190600;-1.418680e+02;
551700;6190600;-1.345905e+02;
551800;6190600;-1.318053e+02;
551900;6190600;-1.331867e+02;
552000;6190600;-1.368100e+02;
552100;6190600;-1.382996e+02;
552200;6190600;-1.358443e+02;
552300;6190600;-1.298721e+02;
552400;6190600;-1.214550e+02;
552500;6190600;-1.141931e+02;
552600;6190600;-1.111821e+02;
552700;6190600;-1.121355e+02;
552800;6190600;-1.145704e+02;
552900;6190600;-1.162286e+02;
553000;6190600;-1.170948e+02;
553100;6190600;-1.154435e+02;
553200;6190600;-1.110107e+02;
553300;6190600;-1.060978e+02;
553400;6190600;-1.035391e+02;
553500;6190600;-1.054888e+02;
553600;6190600;-1.094480e+02;
553700;6190600;-1.116868e+02;
553800;6190600;-1.096884e+02;
553900;6190600;-1.037196e+02;
554000;6190600;-9.912875e+01;
554100;6190600;-9.960973e+01;
554200;6190600;-1.023232e+02;
554300;6190600;-1.050608e+02;
554400;6190600;-1.035371e+02;
554500;6190600;-9.849050e+01;
554600;6190600;-9.216067e+01;
554700;6190600;-8.578886e+01;
554800;6190600;-7.861791e+01;
554900;6190600;-7.415610e+01;
555000;6190600;-7.063703e+01;
555100;6190600;-6.741227e+01;
555200;6190600;-6.842312e+01;
555300;6190600;-6.956297e+01;
