X;Y;Z;
549000;6190600;-1.347447e+01;
549100;6190600;-1.808910e+01;
549200;6190600;-1.437388e+01;
549300;6190600;-8.089409e+00;
549400;6190600;-8.259978e+00;
549500;6190600;-1.191595e+01;
549600;6190600;-1.134659e+01;
549700;6190600;-1.414451e+01;
549800;6190600;-2.347460e+01;
549900;6190600;-3.283488e+01;
550000;6190600;-3.317079e+01;
550100;6190600;-2.418978e+01;
550200;6190600;-1.559050e+01;
550300;6190600;-1.401733e+01;
550400;6190600;-1.554292e+01;
550500;6190600;-1.455981e+01;
550600;6190600;-1.055054e+01;
550700;6190600;-5.569333e+00;
550800;6190600;-3.678172e+00;
550900;6190600;-5.302682e+00;
551000;6190600;-8.802618e+00;
551100;6190600;-1.228122e+01;
551200;6190600;-1.730961e+01;
551300;6190600;-2.017508e+01;
551400;6190600;-1.712941e+01;
551500;6190600;-1.355093e+01;
551600;6190600;-1.233890e+01;
551700;6190600;-1.475419e+01;
551800;6190600;-2.318295e+01;
551900;6190600;-3.411733e+01;
552000;6190600;-3.615046e+01;
552100;6190600;-3.158442e+01;
552200;6190600;-2.711238e+01;
552300;6190600;-2.356306e+01;
552400;6190600;-2.370134e+01;
552500;6190600;-2.706413e+01;
552600;6190600;-3.102776e+01;
552700;6190600;-3.370206e+01;
552800;6190600;-3.242791e+01;
552900;6190600;-2.578742e+01;
553000;6190600;-2.044325e+01;
553100;6190600;-1.686547e+01;
553200;6190600;-1.261441e+01;
553300;6190600;-9.503837e+00;
553400;6190600;-9.373620e+00;
553500;6190600;-1.707079e+01;
553600;6190600;-1.733672e+01;
553700;6190600;-2.052186e+01;
553800;6190600;-2.072327e+01;
553900;6190600;-2.014336e+01;
554000;6190600;-1.978671e+01;
554100;6190600;-2.026028e+01;
554200;6190600;-2.458932e+01;
554300;6190600;-2.795937e+01;
554400;6190600;-2.986973e+01;
554500;6190600;-2.923959e+01;
554600;6190600;-2.530244e+01;
554700;6190600;-2.408454e+01;
554800;6190600;-2.563354e+01;
554900;6190600;-2.511890e+01;
555000;6190600;-2.375423e+01;
555100;6190600;-2.664462e+01;
555200;6190600;-3.454031e+01;
555300;6190600;-4.013341e+01;
555400;6190600;-3.885082e+01;
555500;6190600;-3.252577e+01;
555600;6190600;-2.453053e+01;
555700;6190600;-1.816533e+01;
555800;6190600;-1.919961e+01;
555900;6190600;-2.707173e+01;
556000;6190600;-3.432778e+01;
556100;6190600;-3.712034e+01;
556200;6190600;-3.423191e+01;
556300;6190600;-3.083251e+01;
556400;6190600;-3.123884e+01;
556500;6190600;-3.127974e+01;
556600;6190600;-2.673727e+01;
556700;6190600;-2.156322e+01;
556800;6190600;-2.048263e+01;
556900;6190600;-2.187959e+01;
557000;6190600;-2.408755e+01;
557100;6190600;-2.403061e+01;
557200;6190600;-2.081198e+01;
557300;6190600;-2.055695e+01;
557400;6190600;-2.494719e+01;
557500;6190600;-2.596690e+01;
557600;6190600;-2.342060e+01;
557700;6190600;-1.765538e+01;
557800;6190600;-1.379416e+01;
557900;6190600;-1.781429e+01;
558000;6190600;-2.309722e+01;
558100;6190600;-2.468816e+01;
558200;6190600;-2.274112e+01;
558300;6190600;-1.890481e+01;
558400;6190600;-1.542211e+01;
558500;6190600;-1.682679e+01;
558600;6190600;-1.449259e+01;
558700;6190600;-2.090118e+01;
558800;6190600;-2.582346e+01;
558900;6190600;-2.614577e+01;
559000;6190600;-2.124063e+01;
559100;6190600;-1.688021e+01;
559200;6190600;-1.847488e+01;
559300;6190600;-2.350965e+01;
559400;6190600;-2.653550e+01;
559500;6190600;-2.890821e+01;
559600;6190600;-3.022619e+01;
559700;6190600;-2.794291e+01;
559800;6190600;-1.937355e+01;
