X;Y;Z;
549000;6190600;-2.661225e+02;
549100;6190600;-2.661785e+02;
549200;6190600;-2.651109e+02;
549300;6190600;-2.672291e+02;
549400;6190600;-2.712160e+02;
549500;6190600;-2.695417e+02;
549600;6190600;-2.685134e+02;
549700;6190600;-2.678953e+02;
549800;6190600;-2.658703e+02;
549900;6190600;-2.610784e+02;
550000;6190600;-2.543785e+02;
550100;6190600;-2.484090e+02;
550200;6190600;-2.479230e+02;
550300;6190600;-2.523100e+02;
550400;6190600;-2.556937e+02;
550500;6190600;-2.543081e+02;
550600;6190600;-2.476769e+02;
550700;6190600;-2.420422e+02;
550800;6190600;-2.382522e+02;
550900;6190600;-2.354363e+02;
551000;6190600;-2.357127e+02;
551100;6190600;-2.365531e+02;
551200;6190600;-2.399482e+02;
551300;6190600;-2.400412e+02;
551400;6190600;-2.357122e+02;
551500;6190600;-2.307447e+02;
551600;6190600;-2.273615e+02;
551700;6190600;-2.212702e+02;
551800;6190600;-2.141545e+02;
551900;6190600;-2.094262e+02;
552000;6190600;-2.065370e+02;
552100;6190600;-1.997731e+02;
552200;6190600;-1.936503e+02;
552300;6190600;-1.930226e+02;
552400;6190600;-1.910228e+02;
552500;6190600;-1.868200e+02;
552600;6190600;-1.865466e+02;
552700;6190600;-1.858694e+02;
552800;6190600;-1.795655e+02;
552900;6190600;-1.767882e+02;
553000;6190600;-1.779794e+02;
553100;6190600;-1.785943e+02;
553200;6190600;-1.798926e+02;
553300;6190600;-1.807047e+02;
553400;6190600;-1.803208e+02;
553500;6190600;-1.747334e+02;
553600;6190600;-1.626779e+02;
553700;6190600;-1.534391e+02;
553800;6190600;-1.464017e+02;
553900;6190600;-1.414759e+02;
554000;6190600;-1.388484e+02;
554100;6190600;-1.388361e+02;
554200;6190600;-1.412741e+02;
554300;6190600;-1.417244e+02;
554400;6190600;-1.432335e+02;
554500;6190600;-1.462705e+02;
554600;6190600;-1.435411e+02;
554700;6190600;-1.376272e+02;
554800;6190600;-1.407999e+02;
554900;6190600;-1.374720e+02;
555000;6190600;-1.349767e+02;
555100;6190600;-1.326179e+02;
555200;6190600;-1.323019e+02;
555300;6190600;-1.371873e+02;
555400;6190600;-1.482968e+02;
555500;6190600;-1.603415e+02;
555600;6190600;-1.666263e+02;
555700;6190600;-1.648060e+02;
555800;6190600;-1.601471e+02;
555900;6190600;-1.584850e+02;
556000;6190600;-1.619726e+02;
556100;6190600;-1.689570e+02;
556200;6190600;-1.738937e+02;
556300;6190600;-1.751239e+02;
556400;6190600;-1.768123e+02;
556500;6190600;-1.776861e+02;
556600;6190600;-1.766326e+02;
556700;6190600;-1.772334e+02;
556800;6190600;-1.747274e+02;
556900;6190600;-1.658383e+02;
557000;6190600;-1.570872e+02;
557100;6190600;-1.562698e+02;
557200;6190600;-1.611842e+02;
557300;6190600;-1.657743e+02;
