X;Y;Z;
549000;6190600;-2.661225e+02;
549100;6190600;-2.661785e+02;
549200;6190600;-2.651109e+02;
549300;6190600;-2.672291e+02;
549400;6190600;-2.712160e+02;
549500;6190600;-2.695417e+02;
549600;6190600;-2.685134e+02;
549700;6190600;-2.678953e+02;
549800;6190600;-2.658703e+02;
549900;6190600;-2.610784e+02;
550000;6190600;-2.543785e+02;
550100;6190600;-2.484090e+02;
550200;6190600;-2.479230e+02;
550300;6190600;-2.523100e+02;
550400;6190600;-2.556937e+02;
550500;6190600;-2.543081e+02;
550600;6190600;-2.476769e+02;
550700;6190600;-2.420422e+02;
550800;6190600;-2.382522e+02;
550900;6190600;-2.354363e+02;
551000;6190600;-2.357127e+02;
551100;6190600;-2.365531e+02;
551200;6190600;-2.355056e+02;
551300;6190600;-2.318218e+02;
551400;6190600;-2.251345e+02;
551500;6190600;-2.179787e+02;
551600;6190600;-2.147414e+02;
551700;6190600;-2.087899e+02;
551800;6190600;-2.016118e+02;
551900;6190600;-1.998380e+02;
552000;6190600;-2.026165e+02;
552100;6190600;-1.982281e+02;
552200;6190600;-1.918178e+02;
552300;6190600;-1.912384e+02;
552400;6190600;-1.869508e+02;
552500;6190600;-1.803149e+02;
552600;6190600;-1.818022e+02;
552700;6190600;-1.816718e+02;
552800;6190600;-1.768047e+02;
552900;6190600;-1.734690e+02;
553000;6190600;-1.753223e+02;
553100;6190600;-1.776609e+02;
553200;6190600;-1.798926e+02;
553300;6190600;-1.807047e+02;
553400;6190600;-1.803208e+02;
553500;6190600;-1.747334e+02;
553600;6190600;-1.626779e+02;
553700;6190600;-1.534391e+02;
553800;6190600;-1.464017e+02;
553900;6190600;-1.414759e+02;
554000;6190600;-1.388484e+02;
554100;6190600;-1.388361e+02;
554200;6190600;-1.412741e+02;
554300;6190600;-1.417244e+02;
554400;6190600;-1.432335e+02;
554500;6190600;-1.462705e+02;
554600;6190600;-1.435411e+02;
554700;6190600;-1.337962e+02;
554800;6190600;-1.234351e+02;
554900;6190600;-1.165901e+02;
555000;6190600;-1.135799e+02;
555100;6190600;-1.140816e+02;
555200;6190600;-1.118372e+02;
555300;6190600;-1.049931e+02;
555400;6190600;-1.015586e+02;
555500;6190600;-1.032693e+02;
555600;6190600;-1.029134e+02;
555700;6190600;-9.443850e+01;
555800;6190600;-8.813244e+01;
555900;6190600;-8.667509e+01;
556000;6190600;-8.484359e+01;
556100;6190600;-8.469820e+01;
556200;6190600;-8.444404e+01;
556300;6190600;-7.659344e+01;
556400;6190600;-6.047657e+01;
556500;6190600;-5.474023e+01;
556600;6190600;-5.449075e+01;
556700;6190600;-5.188343e+01;
556800;6190600;-5.497997e+01;
556900;6190600;-5.787652e+01;
557000;6190600;-5.389716e+01;
557100;6190600;-5.212581e+01;
557200;6190600;-5.336043e+01;
557300;6190600;-5.608169e+01;
