X;Y;Z;
549000;6190600;2.675107e+01;
549100;6190600;2.361185e+01;
549200;6190600;2.084729e+01;
549300;6190600;1.994199e+01;
549400;6190600;2.563697e+01;
549500;6190600;2.891789e+01;
549600;6190600;2.790000e+01;
549700;6190600;30;
549800;6190600;2.980000e+01;
549900;6190600;2.009292e+01;
550000;6190600;1.847899e+01;
550100;6190600;1.511678e+01;
550200;6190600;1.715735e+01;
550300;6190600;2.190822e+01;
550400;6190600;1.587242e+01;
550500;6190600;1.187701e+01;
550600;6190600;1.026382e+01;
550700;6190600;9.863577e+00;
550800;6190600;1.439858e+01;
550900;6190600;1.254234e+01;
551000;6190600;1.187635e+01;
551100;6190600;1.063189e+01;
551200;6190600;1.004000e+01;
551300;6190600;4.760288e+00;
551400;6190600;5.527250e+00;
551500;6190600;8.216527e+00;
551600;6190600;6.382782e+00;
551700;6190600;1.259161e+00;
551800;6190600;6.608948e+00;
551900;6190600;9.472223e+00;
552000;6190600;1.658965e+00;
552100;6190600;-6.849207e+00;
552200;6190600;-2.624742e+00;
552300;6190600;1.188681e+00;
552400;6190600;-4.149032e+00;
552500;6190600;-5.812776e+00;
552600;6190600;2.500000e+00;
552700;6190600;2.500000e+00;
552800;6190600;-3.639290e+00;
552900;6190600;-1.607923e+00;
553000;6190600;-9.312910e-01;
553100;6190600;-4.692800e+00;
553200;6190600;-6.825457e+00;
553300;6190600;-2.940890e+00;
553400;6190600;2.500000e+00;
553500;6190600;2.175420e+00;
553600;6190600;-1.209032e+00;
553700;6190600;-1.480678e+00;
553800;6190600;-2.552674e+00;
553900;6190600;-9.263940e+00;
554000;6190600;-9.731258e+00;
554100;6190600;-7.294467e+00;
554200;6190600;-1.959840e+00;
554300;6190600;-3.407562e-01;
554400;6190600;4.057600e-01;
554500;6190600;4.345600e-01;
554600;6190600;2.908600e-01;
554700;6190600;8.691000e-02;
554800;6190600;0;
554900;6190600;0;
555000;6190600;0;
555100;6190600;0;
555200;6190600;0;
555300;6190600;0;
555400;6190600;0;
555500;6190600;0;
555600;6190600;0;
555700;6190600;0;
555800;6190600;0;
555900;6190600;-5.684655e-01;
556000;6190600;-7.526097e+00;
556100;6190600;-1.547342e+01;
556200;6190600;-1.754621e+01;
556300;6190600;-7.873350e+00;
556400;6190600;-5.836505e+00;
556500;6190600;-7.435863e+00;
556600;6190600;-5.514867e+00;
556700;6190600;-3.354696e-01;
556800;6190600;0;
556900;6190600;0;
557000;6190600;-1.291458e+00;
557100;6190600;-8.366810e+00;
557200;6190600;-1.146107e+01;
557300;6190600;-1.311338e+01;
557400;6190600;-1.274499e+01;
557500;6190600;-1.249968e+01;
557600;6190600;-5.261122e+00;
557700;6190600;-4.831310e+00;
557800;6190600;-6.090062e+00;
557900;6190600;-4.306579e+00;
558000;6190600;-1.864194e+00;
558100;6190600;0;
558200;6190600;0;
558300;6190600;-3.522217e+00;
558400;6190600;-1.542211e+01;
558500;6190600;-1.682679e+01;
558600;6190600;-1.449259e+01;
558700;6190600;-1.124837e+01;
558800;6190600;-1.463330e+00;
558900;6190600;0;
559000;6190600;0;
559100;6190600;-1.495737e+00;
559200;6190600;-4.581427e+00;
559300;6190600;-4.729466e+00;
559400;6190600;0;
559500;6190600;0;
559600;6190600;0;
559700;6190600;0;
559800;6190600;-1.870899e+00;
559900;6190600;-1.225242e+01;
560000;6190600;-4.339246e+00;
560100;6190600;0;
560200;6190600;0;
560300;6190600;0;
560400;6190600;0;
560500;6190600;0;
560600;6190600;0;
560700;6190600;0;
560800;6190600;-7.432302e+00;
560900;6190600;-2.068405e+00;
561000;6190600;0;
549000;6190700;1.725910e+01;
549100;6190700;1.596313e+01;
549200;6190700;1.532088e+01;
549300;6190700;1.945846e+01;
549400;6190700;2.746088e+01;
549500;6190700;2.645876e+01;
549600;6190700;1.625618e+01;
549700;6190700;1.554691e+01;
549800;6190700;1.846257e+01;
549900;6190700;1.732870e+01;
550000;6190700;1.670237e+01;
550100;6190700;1.686632e+01;
550200;6190700;2.057304e+01;
550300;6190700;2.062866e+01;
550400;6190700;1.998400e+01;
550500;6190700;1.474188e+01;
550600;6190700;9.286294e+00;
550700;6190700;3.108845e+00;
550800;6190700;1.219830e+01;
550900;6190700;1.373526e+01;
551000;6190700;8.608671e+00;
551100;6190700;1.240202e+01;
551200;6190700;1.135114e+01;
551300;6190700;5.749348e+00;
551400;6190700;4.520769e+00;
551500;6190700;7.314667e+00;
551600;6190700;1.926944e+00;
551700;6190700;-4.505638e+00;
551800;6190700;1.319301e+00;
551900;6190700;-2.947744e+00;
552000;6190700;-5.783380e+00;
552100;6190700;-5.908274e+00;
552200;6190700;-5.265737e+00;
552300;6190700;-8.462622e-02;
552400;6190700;-1.334470e+00;
552500;6190700;-9.299354e-01;
552600;6190700;2.500000e+00;
552700;6190700;2.500000e+00;
552800;6190700;-1.002504e+00;
552900;6190700;-7.610888e-01;
553000;6190700;2.500000e+00;
553100;6190700;1.658756e+00;
553200;6190700;-4.760677e+00;
553300;6190700;2.070050e+00;
553400;6190700;2.500000e+00;
553500;6190700;2.500000e+00;
553600;6190700;-3.606922e+00;
553700;6190700;-1.100771e+00;
553800;6190700;1.080600e-01;
553900;6190700;-2.310908e+00;
554000;6190700;-2.461537e+00;
554100;6190700;3.078273e-01;
554200;6190700;8.972000e-01;
554300;6190700;9.031000e-01;
554400;6190700;1.150540e+00;
554500;6190700;-2.413342e-02;
554600;6190700;8.237100e-01;
554700;6190700;5.417300e-01;
554800;6190700;0;
554900;6190700;0;
555000;6190700;0;
555100;6190700;0;
555200;6190700;0;
555300;6190700;0;
555400;6190700;0;
555500;6190700;0;
555600;6190700;0;
555700;6190700;0;
555800;6190700;0;
555900;6190700;-1.075211e+00;
556000;6190700;-5.256120e+00;
556100;6190700;-8.600514e+00;
556200;6190700;-1.066349e+01;
556300;6190700;-6.824574e+00;
556400;6190700;-6.909194e+00;
556500;6190700;-1.027329e+01;
556600;6190700;-1.070256e+01;
556700;6190700;-5.557952e+00;
556800;6190700;0;
556900;6190700;0;
557000;6190700;-3.628102e+00;
557100;6190700;-1.304888e+01;
557200;6190700;-1.470325e+01;
557300;6190700;-9.402456e+00;
557400;6190700;-8.013047e+00;
557500;6190700;-8.232233e+00;
557600;6190700;-5.628504e+00;
557700;6190700;-7.854496e+00;
557800;6190700;-1.143890e+01;
557900;6190700;-1.347225e+01;
558000;6190700;-9.423624e+00;
558100;6190700;-7.288630e+00;
558200;6190700;-7.326784e+00;
558300;6190700;-7.816872e+00;
558400;6190700;-1.301687e+01;
558500;6190700;-1.270751e+01;
558600;6190700;-4.736067e+00;
558700;6190700;-4.466397e+00;
558800;6190700;-3.923753e+00;
558900;6190700;0;
559000;6190700;0;
559100;6190700;-2.662797e+00;
559200;6190700;-4.270725e+00;
559300;6190700;-4.765321e+00;
559400;6190700;-1.282184e+00;
559500;6190700;0;
559600;6190700;0;
559700;6190700;0;
559800;6190700;0;
559900;6190700;-8.075242e+00;
560000;6190700;-2.748587e+00;
560100;6190700;0;
560200;6190700;0;
560300;6190700;-3.745286e+00;
560400;6190700;-3.407952e+00;
560500;6190700;0;
560600;6190700;0;
560700;6190700;0;
560800;6190700;-6.218458e+00;
560900;6190700;-3.776327e+00;
561000;6190700;0;
549000;6190800;1.643659e+01;
549100;6190800;1.665043e+01;
549200;6190800;1.475617e+01;
549300;6190800;1.901643e+01;
549400;6190800;2.431372e+01;
549500;6190800;2.441202e+01;
549600;6190800;9.077102e+00;
549700;6190800;-8.245612e-01;
549800;6190800;9.566465e+00;
549900;6190800;2.094623e+01;
550000;6190800;2.198385e+01;
550100;6190800;2.071440e+01;
550200;6190800;1.986978e+01;
550300;6190800;2.003091e+01;
550400;6190800;1.961600e+01;
550500;6190800;1.761600e+01;
550600;6190800;1.333659e+01;
550700;6190800;1.062713e+01;
550800;6190800;1.317926e+01;
550900;6190800;1.492000e+01;
551000;6190800;1.332429e+01;
551100;6190800;1.238396e+01;
551200;6190800;7.393850e+00;
551300;6190800;6.653995e+00;
551400;6190800;6.631304e+00;
551500;6190800;8.303815e+00;
551600;6190800;4.463958e-01;
551700;6190800;-7.094174e+00;
551800;6190800;-4.501835e+00;
551900;6190800;-9.426537e+00;
