X;Y;Z;
549000;6190600;-590;
549100;6190600;-590;
549200;6190600;-590;
549300;6190600;-590;
549400;6190600;-590;
549500;6190600;-590;
549600;6190600;-590;
549700;6190600;-590;
549800;6190600;-590;
549900;6190600;-590;
550000;6190600;-590;
550100;6190600;-590;
550200;6190600;-590;
550300;6190600;-590;
550400;6190600;-590;
550500;6190600;-590;
550600;6190600;-590;
550700;6190600;-590;
550800;6190600;-590;
550900;6190600;-590;
551000;6190600;-590;
551100;6190600;-590;
551200;6190600;-590;
551300;6190600;-590;
551400;6190600;-590;
551500;6190600;-590;
551600;6190600;-590;
551700;6190600;-590;
551800;6190600;-590;
551900;6190600;-590;
552000;6190600;-590;
552100;6190600;-590;
552200;6190600;-590;
552300;6190600;-590;
552400;6190600;-590;
552500;6190600;-590;
552600;6190600;-590;
552700;6190600;-590;
552800;6190600;-590;
552900;6190600;-590;
553000;6190600;-590;
553100;6190600;-590;
553200;6190600;-590;
553300;6190600;-590;
553400;6190600;-590;
553500;6190600;-590;
553600;6190600;-590;
553700;6190600;-590;
553800;6190600;-590;
553900;6190600;-590;
554000;6190600;-590;
554100;6190600;-590;
554200;6190600;-590;
554300;6190600;-590;
554400;6190600;-590;
554500;6190600;-590;
554600;6190600;-590;
554700;6190600;-590;
554800;6190600;-590;
554900;6190600;-590;
555000;6190600;-590;
555100;6190600;-590;
555200;6190600;-590;
555300;6190600;-590;
555400;6190600;-590;
555500;6190600;-590;
555600;6190600;-590;
555700;6190600;-590;
555800;6190600;-590;
555900;6190600;-590;
556000;6190600;-590;
556100;6190600;-590;
556200;6190600;-590;
556300;6190600;-590;
556400;6190600;-590;
556500;6190600;-590;
556600;6190600;-590;
556700;6190600;-590;
556800;6190600;-590;
556900;6190600;-590;
557000;6190600;-590;
557100;6190600;-590;
557200;6190600;-590;
557300;6190600;-590;
557400;6190600;-590;
557500;6190600;-590;
557600;6190600;-590;
557700;6190600;-590;
557800;6190600;-590;
557900;6190600;-590;
558000;6190600;-590;
558100;6190600;-590;
558200;6190600;-590;
558300;6190600;-590;
558400;6190600;-590;
558500;6190600;-590;
558600;6190600;-590;
558700;6190600;-590;
558800;6190600;-590;
558900;6190600;-590;
559000;6190600;-590;
559100;6190600;-590;
559200;6190600;-590;
559300;6190600;-590;
559400;6190600;-590;
559500;6190600;-590;
559600;6190600;-590;
559700;6190600;-590;
559800;6190600;-590;
559900;6190600;-590;
560000;6190600;-590;
560100;6190600;-590;
560200;6190600;-590;
560300;6190600;-590;
560400;6190600;-590;
560500;6190600;-590;
560600;6190600;-590;
560700;6190600;-590;
560800;6190600;-590;
560900;6190600;-590;
561000;6190600;-590;
549000;6190700;-590;
549100;6190700;-590;
549200;6190700;-590;
549300;6190700;-590;
549400;6190700;-590;
549500;6190700;-590;
549600;6190700;-590;
549700;6190700;-590;
549800;6190700;-590;
549900;6190700;-590;
550000;6190700;-590;
550100;6190700;-590;
550200;6190700;-590;
550300;6190700;-590;
550400;6190700;-590;
550500;6190700;-590;
550600;6190700;-590;
550700;6190700;-590;
550800;6190700;-590;
550900;6190700;-590;
551000;6190700;-590;
551100;6190700;-590;
551200;6190700;-590;
551300;6190700;-590;
551400;6190700;-590;
551500;6190700;-590;
551600;6190700;-590;
551700;6190700;-590;
551800;6190700;-590;
551900;6190700;-590;
552000;6190700;-590;
552100;6190700;-590;
552200;6190700;-590;
552300;6190700;-590;
552400;6190700;-590;
552500;6190700;-590;
552600;6190700;-590;
552700;6190700;-590;
552800;6190700;-590;
552900;6190700;-590;
553000;6190700;-590;
553100;6190700;-590;
553200;6190700;-590;
553300;6190700;-590;
553400;6190700;-590;
553500;6190700;-590;
553600;6190700;-590;
553700;6190700;-590;
553800;6190700;-590;
553900;6190700;-590;
554000;6190700;-590;
554100;6190700;-590;
554200;6190700;-590;
554300;6190700;-590;
554400;6190700;-590;
554500;6190700;-590;
554600;6190700;-590;
554700;6190700;-590;
554800;6190700;-590;
554900;6190700;-590;
555000;6190700;-590;
555100;6190700;-590;
555200;6190700;-590;
555300;6190700;-590;
555400;6190700;-590;
555500;6190700;-590;
555600;6190700;-590;
555700;6190700;-590;
555800;6190700;-590;
555900;6190700;-590;
556000;6190700;-590;
556100;6190700;-590;
556200;6190700;-590;
556300;6190700;-590;
556400;6190700;-590;
556500;6190700;-590;
556600;6190700;-590;
556700;6190700;-590;
556800;6190700;-590;
556900;6190700;-590;
557000;6190700;-590;
557100;6190700;-590;
557200;6190700;-590;
557300;6190700;-590;
557400;6190700;-590;
557500;6190700;-590;
557600;6190700;-590;
557700;6190700;-590;
557800;6190700;-590;
557900;6190700;-590;
558000;6190700;-590;
558100;6190700;-590;
558200;6190700;-590;
558300;6190700;-590;
558400;6190700;-590;
558500;6190700;-590;
558600;6190700;-590;
558700;6190700;-590;
558800;6190700;-590;
558900;6190700;-590;
559000;6190700;-590;
559100;6190700;-590;
559200;6190700;-590;
559300;6190700;-590;
559400;6190700;-590;
559500;6190700;-590;
559600;6190700;-590;
559700;6190700;-590;
559800;6190700;-590;
559900;6190700;-590;
560000;6190700;-590;
560100;6190700;-590;
560200;6190700;-590;
560300;6190700;-590;
560400;6190700;-590;
560500;6190700;-590;
560600;6190700;-590;
560700;6190700;-590;
560800;6190700;-590;
560900;6190700;-590;
561000;6190700;-590;
549000;6190800;-590;
549100;6190800;-590;
549200;6190800;-590;
549300;6190800;-590;
549400;6190800;-590;
549500;6190800;-590;
549600;6190800;-590;
549700;6190800;-590;
549800;6190800;-590;
549900;6190800;-590;
550000;6190800;-590;
550100;6190800;-590;
550200;6190800;-590;
550300;6190800;-590;
550400;6190800;-590;
550500;6190800;-590;
550600;6190800;-590;
550700;6190800;-590;
550800;6190800;-590;
550900;6190800;-590;
551000;6190800;-590;
551100;6190800;-590;
551200;6190800;-590;
551300;6190800;-590;
551400;6190800;-590;
551500;6190800;-590;
551600;6190800;-590;
551700;6190800;-590;
551800;6190800;-590;
551900;6190800;-590;
552000;6190800;-590;
552100;6190800;-590;
552200;6190800;-590;
552300;6190800;-590;
552400;6190800;-590;
552500;6190800;-590;
552600;6190800;-590;
552700;6190800;-590;
552800;6190800;-590;
552900;6190800;-590;
553000;6190800;-590;
553100;6190800;-590;
553200;6190800;-590;
553300;6190800;-590;
553400;6190800;-590;
553500;6190800;-590;
553600;6190800;-590;
553700;6190800;-590;
553800;6190800;-590;
553900;6190800;-590;
554000;6190800;-590;
554100;6190800;-590;
554200;6190800;-590;
554300;6190800;-590;
554400;6190800;-590;
554500;6190800;-590;
554600;6190800;-590;
554700;6190800;-590;
554800;6190800;-590;
554900;6190800;-590;
555000;6190800;-590;
555100;6190800;-590;
555200;6190800;-590;
